"id","nome","municipio","uf","responsabilidade","logradouro","termo_convenio","problema_detectado"
"5764","806024 - Espaço Educ Urbano II - 04 Salas - Construção - Capitão Poço /PA","Capitão Poço","PA","Estadual",NA,"806024/2007","paralisada; sem endereço"
"5765","806024 - Espaço Educ Rural - 02 Salas - Construção - Capitão Poço /PA","Capitão Poço","PA","Estadual",NA,"806024/2007","paralisada; sem endereço"
"5767","806024 - Espaço Educ Rural - 02 Salas - Construção - Capitão Poço /PA","Capitão Poço","PA","Estadual",NA,"806024/2007","paralisada; sem endereço"
"13339","703260 - Esc. Educ. Infantil - Tipo B - Proinfância - Constr","Capitão Poço","PA","Municipal","avenida vinte e nove de dezembro","703260/2010","paralisada"
"1017463","E.M.E.B.Vitorio Marcon","Capivari de Baixo","SC","Municipal","leonete frontina alves","32323/2014","atrasada"
"1003687","Bairro Belvedere","Caputira","MG","Municipal","rua c - rua projetada","6090/2013","atrasada"
"1009343","Golfinho","Caraguatatuba","SP","Municipal","avenida emílio manzano lhorente","11654/2014","atrasada"
"1012887","Pegorelli","Caraguatatuba","SP","Municipal","avenida avelino alves dos santos","9071/2014","atrasada"
"25614","PAC 2 - CRECHE/PRÉ-ESCOLA  001","Caraí","MG","Municipal","rua do campo,s/n","2809/2012","paralisada"
"1016193","SANTO ANTONIO - Caraí - MG","Caraí","MG","Municipal","comunidade santo antonio","29706/2014","paralisada"
"1012733","PAC 2 - CRECHE/PRÉ-ESCOLA  001","Carandaí","MG","Municipal","rua sizenando teixeira de carvalho","8807/2014","atrasada"
"1002406","LOTE LACERDINA","Carangola","MG","Municipal","esquina da rua josefa baroni com r. antonio r. lanes","6092/2013","atrasada"
"1003688","LOTE ELDORADO","Carangola","MG","Municipal","r. projetada a","8464/2014","atrasada"
"25681","Marginal Cadaval - Estrada das Acácias","Carapicuíba","SP","Municipal","estrada acácias","4073/2013","paralisada"
"25682","Rua Rodolfo Severino Cândido","Carapicuíba","SP","Municipal","rua rodolfo severino cândido","4073/2013","paralisada"
"25683","Estrada do Jatobá","Carapicuíba","SP","Municipal","estrada do jatobá","4073/2013","paralisada"
"25684","Estrada do Jacarandá","Carapicuíba","SP","Municipal","estrada do jacarandá","4073/2013","paralisada"
"1001475","Rua Capanema","Carapicuíba","SP","Municipal","rua capanema","5146/2013","paralisada"
"1017598","Estrada Egílio Vitorello","Carapicuíba","SP","Municipal","estrada egílio vitorello","11068/2014","paralisada"
"1057991","Rua Riberião Preto - Carapicuíba - SP","Carapicuíba","SP","Municipal","rua ribeirão preto","5146/2013","atrasada"
"1010554","COMUNIDADE BOM JESUS","Carauari","AM","Municipal","rua projetada","22287/2014","paralisada"
"1017626","COMUNIDADE BAUANA","Carauari","AM","Municipal","rua projetada","31505/2014","paralisada"
"1002789","Escola Municipal de Educação Infantil Padre Gildo - Carazinho - RS","Carazinho","RS","Municipal","rua domingos secchi","6026/2013","paralisada"
"8484","656892 - Esc. Educ. Infantil - Tipo B - Careiro/AM","Careiro","AM","Municipal",NA,"656892/2009","paralisada; sem endereço"
"20188","SEBASTIÃO BORGES","Careiro","AM","Municipal","sargento nonato brito","268/2011","paralisada"
"17956","700309/11 - Escola de Educação Infantil B - Caridade/CE","Caridade","CE","Municipal","rua gabriela santiago","700309/2011","paralisada"
"24304","PAC 2 - CRECHE/PRÉ-ESCOLA  001","Carinhanha","BA","Municipal","rua estrela dalva","2526/2012","atrasada"
"29511","AGROVILA 23","Carinhanha","BA","Municipal","travessa da rua a","8311/2014","paralisada"
"1009335","CRECHE DO POVOADO JUÁ","Carira","SE","Municipal","rua a","9055/2014","atrasada"
"1081423","700123/11 - Escola de Educação Infantil B - Caririaçu/CE","Caririaçu","CE","Municipal",NA,"700123/2011","sem endereço"
"8548","656538 - Esc. Educ. Infantil - CARNAUBAL/CE","Carnaubal","CE","Municipal","rua dep. vicente ribeiro","656538/2009","paralisada"
"1006747","CRECHE MUNICIPAL PEQUENO SAULO LOPES GONÇALVES","Carnaubeira da Penha","PE","Municipal","rua pankará","7403/2013","atrasada"
"1005806","Creche do Bairro Nova Carolina","Carolina","MA","Municipal","rua são josé","6940/2013","atrasada"
"1009470","E.M SÃO BENTO - Carolina - MA","Carolina","MA","Municipal","estrada vicinal 01","22531/2014","paralisada"
"1009472","E.M BACURI DO LAJES - Carolina - MA","Carolina","MA","Municipal","estrada vicinal 09","22531/2014","paralisada"
"1081266","PAC 2 - CRECHE/PRÉ-ESCOLA  001","Carolina","MA","Municipal","rua são lucas","2686/2012","paralisada"
"19878","PROINFÂNCIA","Carpina","PE","Municipal","rua um","1833/2011","paralisada"
"1006749","Estrada do Feiticeiro","Carpina","PE","Municipal","rua projetada","7404/2013","paralisada"
"1014552","Três Marias","Carpina","PE","Municipal","rua quatro","9344/2014","atrasada"
"18163","São José","Caruaru","PE","Municipal","rua projetada 17 - rua rui silvestre","192/2011","atrasada"
"19930","Wirton Lira","Caruaru","PE","Municipal","rua projetada 6","192/2011","atrasada"
"24777","Peladas","Caruaru","PE","Municipal","via local estrada do comércio","10933/2014","atrasada"
"8734","657095 - Esc. Educ. Infantil - Tipo C - CARVALHOS/MG","Carvalhos","MG","Municipal",NA,"657095/2009","sem endereço"
"2155","830077 - Escola de Educação Infantil - Casa Branca/SP","Casa Branca","SP","Municipal","rua maria lopes da cunha alvarenga","830077/2007","paralisada"
"25086","CRCHE LAGOA ALEGRE","Casa Nova","BA","Municipal","distrito de bembom","2585/2012","paralisada"
"25087","CRECHE SANTANA","Casa Nova","BA","Municipal","largo escola areni bezerra","2585/2012","paralisada"
