"","nome","responsabilidade","municipio","uf","logradouro","termo_convenio","data_de_entrega","pagamento_total","valor_pacutado","problema_encontrado"
"399","703406 - Esc. Educ. Infantil - Tipo C - Proinfância - Construção - LAGOA ALEGRE/PI","Municipal","Lagoa Alegre","PI","rua professor francisco antonio","703406/2010","2014-12-31","821238","890983","paralisada / já devia ter sido entregue"
"400","702625 - Esc. Educ. Infantil - Tipo C - Proinfância - Construção - LAGOA D`ANTA/RN","Municipal","Lagoa d'Anta","RN","Não informado","702625/2010","2015-12-31","399748","842305","paralisada / já devia ter sido entregue / sem endereço"
"401","702591 - Esc. Educ. Infantil - Tipo B - Proinfância - Construção - POÇO BRANCO/RN","Municipal","Poço Branco","RN","Não informado","702591/2010","2018-12-30","1366000","1947952","paralisada / sem endereço"
"402","703277 - Esc. Educ. Infantil - Tipo B - Proinfância - Construção - GRAVATAÍ/RS","Municipal","Gravataí","RS","Não informado","703277/2010",NA,"860403","1364950","não iniciada / sem endereço"
"403","703253 - Esc. Educ. Infantil - Tipo C - Proinfância - Construção - LAGOÃO/RS","Municipal","Lagoão","RS","avenida tomas costa","703253/2010","2017-12-10","844539","926152","paralisada / já devia ter sido entregue"
"404","704173 - Esc. Educ. Infantil - Tipo C - Proinfância - Construção - SANTA MARIA/RS","Municipal","Santa Maria","RS","Não informado","704173/2010","2018-08-20","421174","917668","em andamento / já devia ter sido entregue / sem endereço"
"405","703210/10 - EE Infantil - Tipo B - SÃO FRANCISCO DE PAULA/RS","Municipal","São Francisco de Paula","RS","Não informado","703210/2010",NA,"901646","1931845","paralisada / sem endereço"
"406","702650 - Esc. Educ. Infantil - Tipo C - Proinfância - Construção - PALMEIRAS DO TOCANTINS/TO","Municipal","Palmeiras do Tocantins","TO","avenida mussum","702650/2010","2018-07-16","629500","901596","paralisada / já devia ter sido entregue"
"407","702639 - Esc. Educ. Infantil - Tipo C - Proinfância - Construção - TUPIRATINS/TO","Municipal","Tupiratins","TO","Não informado","702639/2010",NA,"425836","808111","paralisada / sem endereço"
"408","702613 - Esc. Educ. Infantil - Tipo B - Proinfância - Construção - XAMBIOÁ/TO","Municipal","Xambioá","TO","Não informado","702613/2010",NA,"937269","1955821","paralisada / sem endereço"
"409","703562/2010 - Espaço Educativo Urbano - Viçosa/AL","Municipal","Viçosa","AL","Não informado","703562/2010","2017-02-28","632728","1358243","paralisada / já devia ter sido entregue / sem endereço"
"410","700197 - Espaço Educativo Urbano - Pov Jussatuba - Icatu/MA","Municipal","Icatu","MA","Não informado","700197/2008","2015-12-30","2152662","2407889","paralisada / já devia ter sido entregue / sem endereço"
"411","700197 - Espaço Educativo Urbano - Sertãozinho - Icatu/MA","Municipal","Icatu","MA","Não informado","700197/2008","2016-01-15","2152662","2407889","paralisada / já devia ter sido entregue / sem endereço"
"412","702527/10 - Espaço Educativo Urbano - Wenceslau Guimarães/BA","Municipal","Wenceslau Guimarães","BA","Não informado","702527/2010","2015-01-31","602230","1275872","paralisada / já devia ter sido entregue / sem endereço"
"413","703559/2010 - Escola Padrão Estado - Baturité/CE","Municipal","Baturité","CE","Não informado","703559/2010","2017-12-29","1535747","sem informação","paralisada / já devia ter sido entregue / sem endereço"
"414","703293/2010 - Espaço Educativo Urbano - Joaquim Felício/MG","Municipal","Joaquim Felício","MG","Não informado","",NA,"537705","sem informação","paralisada / sem endereço"
"415","703390/2010 - E Educativo Urbano - Sítio Araçá - Afrânio/PE","Municipal","Afrânio","PE","Não informado","703390/2010","2017-02-12","871938","sem informação","paralisada / já devia ter sido entregue / sem endereço"
"416","703382/2010 - Espaço Educativo Urbano - Apodi/RN","Municipal","Apodi","RN","Não informado","703382/2010","2018-09-24","564230","sem informação","em andamento / sem endereço"
"417","702592/2010 - Esp Educativo Urbano - Faz. Matas - Arraias/TO","Municipal","Arraias","TO","Não informado","702592/2010","2018-12-31","1139317","sem informação","em andamento / sem endereço"
"418","656356 - Esc. Educ. Infantil - Tipo C - RIACHAO DO DANTAS/SE","Municipal","Riachão do Dantas","SE","Não informado","656356/2009","2016-12-31","436217","885917","paralisada / já devia ter sido entregue / sem endereço"
"419","830252 - Escola de Educação Infantil - Martinópolis/SP","Municipal","Martinópolis","SP","rua nicolau falckemback (travessa g-2)","830252/2007","2014-12-25","1450760","2091011","paralisada / já devia ter sido entregue"
"420","657727 - Escola de Educação Infantil - Piraí/RJ","Municipal","Piraí","RJ","av. do sol","657727/2009","2017-02-27","0","768561","paralisada / já devia ter sido entregue"
"421","658392 - Centro de Educação Profissional - Niquelândia/GO","Estadual","Niquelândia","GO","Não informado","",NA,"778209","sem informação","paralisada / sem endereço"
"422","658392 - Centro Tecnológico de Cristalina - Cristalina/GO","Estadual","Cristalina","GO","Não informado","658392/2009",NA,"778209","sem informação","não iniciada / sem endereço"
"423","830453 - Escola de Educação Infantil - Itaparica/BA","Municipal","Itaparica","BA","1ª travessa da rua santa bárbara","830453/2007","2011-11-04","1123682","1211012","paralisada / já devia ter sido entregue"
"424","704168/2010 - Escola de Educação Infantil - Conde/BA","Municipal","Conde","BA","Não informado","704168/2010","2016-12-28","903103","1919257","paralisada / já devia ter sido entregue / sem endereço"
"425","704064/10 - Escola de Educação Inf - Reserva do Iguaçu/PR","Municipal","Reserva do Iguaçu","PR","Não informado","704064/2010","2016-12-31","637061","911668","paralisada / já devia ter sido entregue / sem endereço"
"426","658743 - Escola de Educação Infantil - Brejões/BA","Municipal","Brejões","BA","Não informado","658743/2009",NA,"0","948290","não iniciada / sem endereço"
"427","657585 - Escola de Educação Infantil - Gloria/BA","Municipal","Glória","BA","praça eduardo campos","657585/2009","2016-02-29","0","931589","paralisada / já devia ter sido entregue"
"428","700056/2008 - Escola de Educação Infantil B - Prainha/PA","Municipal","Prainha","PA","Não informado","700056/2008","2017-05-12","969520","1135032","paralisada / já devia ter sido entregue / sem endereço"
"429","700069/11 - Escola de Educação Infantil - Piratuba/SC","Municipal","Piratuba","SC","rua boa vista.","700069/2011","2014-01-22","421097","863459","paralisada / já devia ter sido entregue"
"430","700068/11 - Escola de Educação Infantil - Palhoça/SC","Municipal","Palhoça","SC","rua vt-20.","700068/2011","2013-05-21","359463","737078","paralisada / já devia ter sido entregue"
"431","700268/11 - Escola de Educação Infantil - Maraã/AM","Municipal","Maraã","AM","avenida perimetral, s/nº","700268/2011","2016-03-07","424482","870399","paralisada / já devia ter sido entregue"
"432","700225/11 -EE Rural -Caruru Cachoeira- São G da Cachoeira/AM","Municipal","São Gabriel da Cachoeira","AM","Não informado","700225/2011","2014-11-25","1963342","sem informação","paralisada / já devia ter sido entregue / sem endereço"
"433","700257/11 - Espaço Educativo Urbano - Urucurituba/AM","Municipal","Urucurituba","AM","av. amazonas, bairro são lázaro","700257/2011","2016-12-22","605333","1241233","paralisada / já devia ter sido entregue"
"434","700002/11 - Escola de Educação Infantil - Balbinos/SP","Municipal","Balbinos","SP","avenida da saudade.","700002/2011","2017-11-22","410149","849503","paralisada / já devia ter sido entregue"
"435","700076/11 - Escola de Educação Infantil - Guatapara/SP","Municipal","Guatapará","SP","rua paulo monte serrat filho esquina com rua aparecido nunes.","700076/2011","2016-01-23","420993","871965","paralisada / já devia ter sido entregue"
"436","700097/11 - Esc. de Ed. Infantil - Santa Barbara d`Oeste/SP","Municipal","Santa Bárbara d'Oeste","SP","av. porto ferreira esquina c/ rua águas da prata.","700097/2011",NA,"0","850112","não iniciada"
"437","700102/11 - E de Educação Infantil C - Itaju do Colonia/BA","Municipal","Itaju do Colônia","BA","travessa dos artista, bairro novo itaju","700102/2011","2016-12-29","415961","852927","paralisada / já devia ter sido entregue"
"438","700181/11 - Escola de Educação Infantil B - Jiquiriçá/BA","Municipal","Jiquiriçá","BA","Não informado","700181/2011","2016-12-30","836876","1716010","paralisada / já devia ter sido entregue / sem endereço"
"439","700093/11 - Escola de Educação Infantil - Cordeirópolis/SP","Municipal","Cordeirópolis","SP","Não informado","700093/2011",NA,"882778","1823117","não iniciada / sem endereço"
"440","700004/11 - Escola de Educação Infantil C - Pilão Arcado/BA","Municipal","Pilão Arcado","BA","av. joaquim ribeiro","700004/2011","2018-08-27","419774","869440","em andamento / já devia ter sido entregue"
"441","700024/11 - Escola de Educação Infantil - Indiaporã/SP","Municipal","Indiaporã","SP","Não informado","700024/2011","2016-07-12","420672","862586","paralisada / já devia ter sido entregue / sem endereço"
"442","700239/11 - Escola de Educação Infantil B - Alto Santo/CE","Municipal","Alto Santo","CE","Não informado","700239/2011","2010-09-28","881707","1802698","não iniciada / já devia ter sido entregue / sem endereço"
"443","700080/11 - Escola de Ed. Infantil - Rio da Conceição/TO","Municipal","Rio da Conceição","TO","rua la paz.","700080/2011","2016-12-31","417132","855328","paralisada / já devia ter sido entregue"
"444","700081/11 - Escola de Educação Infantil - Taguatinga/TO","Municipal","Taguatinga","TO","rua 21, quadra 42, lote 17, setor valdemar carlos de frança.","700081/2011","2016-11-30","420165","861547","paralisada / já devia ter sido entregue"
"445","700271/11 - Es. de Ed. Infantil - São Miguel do Tocantins/TO","Municipal","São Miguel do Tocantins","TO","rua são pedro.","700271/2011","2014-08-04","902358","1850282","paralisada / já devia ter sido entregue"
"446","700219/11 - Espaço Ed. Urb -Santa Terezinha do Tocantins/TO","Municipal","Santa Terezinha do Tocantins","TO","av. manoel da rocha nogueira.","700219/2011","2018-07-08","635375","sem informação","em andamento / já devia ter sido entregue"
"447","700163/11 - Espaço Educativo Urbano - Aurora/CE","Municipal","Aurora","CE","Não informado","700163/2011","2018-12-31","1813092","sem informação","em andamento / sem endereço"
"448","700171/11 - Escola Padrão Estado 8 salas - Campos Sales/CE","Municipal","Campos Sales","CE","Não informado","700171/2011","2014-02-26","1973458","sem informação","paralisada / já devia ter sido entregue / sem endereço"
"449","700132/11 - Escola de Educação Infantil - Pirangi/SP","Municipal","Pirangi","SP","rua professora mariana de melo e sá.","700132/2011","2018-08-19","415569","852122","em andamento / já devia ter sido entregue"
"450","700208/11 - E Padrão Estado 8 salas - Guaraciaba do Norte/CE","Municipal","Guaraciaba do Norte","CE","Não informado","700208/2011",NA,"1540043","sem informação","paralisada / sem endereço"
"451","700291/11 -EE Infantil - Parque Sta Tereza - Carapicuiba/SP","Municipal","Carapicuíba","SP","rua zacarias de medeiros.","700291/2011",NA,"2717333","sem informação","não iniciada"
"452","700291/11 -EE Infantil - Parque da Aldeia - Carapicuiba/SP","Municipal","Carapicuíba","SP","rua sérgio cardoso.","700291/2011",NA,"2717333","sem informação","não iniciada"
"453","700141/11 - E Padrão Estado 8 salas - Carnaubinha - Milhã/CE","Municipal","Milhã","CE","Não informado","700141/2011","2015-12-31","2039267","sem informação","paralisada / já devia ter sido entregue / sem endereço"
"454","700077/11 - Es. de Ed. Infantil - Miguel Badra -Suzano/SP","Municipal","Suzano","SP","rua mario bochetti.","700077/2011","2018-08-20","2706380","sem informação","em andamento / já devia ter sido entregue"
"455","700249/11 - Escola Padão Estado 8 salas - Salitre/CE","Municipal","Salitre","CE","Não informado","700249/2011","2015-01-09","1505703","sem informação","paralisada / já devia ter sido entregue / sem endereço"
"456","700250/11 - Espaço Educativo Urbano - Solonópole/CE","Municipal","Solonópole","CE","Não informado","700250/2011","2018-10-09","1775795","sem informação","em andamento / sem endereço"
"457","700194/11 - Espaço Ed. Urbano - Bom Jesus do Tocantins/TO","Municipal","Bom Jesus do Tocantins","TO","av. aeroporto.","700194/2011","2016-10-22","635375","sem informação","paralisada / já devia ter sido entregue"
"458","700187/11 - Espaço Educativo Urbano - Caçu/GO","Municipal","Caçu","GO","qd – 12, lote 01","700187/2011","2018-01-26","626650","sem informação","paralisada / já devia ter sido entregue"
"459","700215/11 - Espaço Educativo Urbano - Mambaí/GO","Municipal","Mambaí","GO","avenida 14 de novembro, quadra 19, morada nova","700215/2011","2016-12-31","636903","sem informação","paralisada / já devia ter sido entregue"
"460","700144/11 - Escola de Educação Infantil B - Bacabal/MA","Municipal","Bacabal","MA","rua vp-19  - bairro cohab ii","700144/2011","2014-06-24","866307","1771210","paralisada / já devia ter sido entregue"
"461","700173/11 - Espaço Educativo 6 salas - Abelardo Luz/SC","Municipal","Abelardo Luz","SC","Não informado","700173/2011","2018-12-31","435509","sem informação","em andamento / sem endereço"
"462","700023/11 - E Educação Infantil B- Formosa da Serra Negra/MA","Municipal","Formosa da Serra Negra","MA","avenida joão da mata e silva","700023/2011","2016-06-15","819403","1680184","paralisada / já devia ter sido entregue"
"463","700027/11 - E Educ Infantil B - Governador Newton Bello/MA","Municipal","Governador Newton Bello","MA","Não informado","700027/2011","2016-07-20","808706","1658249","paralisada / já devia ter sido entregue / sem endereço"
"464","700029/11 - Escola de Educação Infantil C -Nina Rodrigues/MA","Municipal","Nina Rodrigues","MA","rua diortino sampaio castro s/nº, centro","700029/2011","2016-12-20","421155","863577","paralisada / já devia ter sido entregue"
"465","700201/11 - Escola de Educação Infantil B - Pinheiro/MA","Municipal","Pinheiro","MA","rua dom afonso","700201/2011","2014-12-31","858444","1760236","paralisada / já devia ter sido entregue"
"466","700035/11 - Escola de Educação Infantil - Tamboara/PR","Municipal","Tamboara","PR","Não informado","700035/2011","2018-12-24","891748","2045600","em andamento / sem endereço"
"467","700211/11 - Espaço Educativo Urbano - Sitio Novo/RN","Municipal","Sítio Novo","RN","rua ferreira chicó.","700211/2011","2015-12-30","634475","sem informação","paralisada / já devia ter sido entregue"
"468","700152/11 - Es. de Ed. Infantil - Tenente Laurentino Cruz/RN","Municipal","Tenente Laurentino Cruz","RN","av. airton laurentino s/n.","700152/2011",NA,"847401","1737594","paralisada"
"469","700106/11 - Escola de Educação Infantil - Luiziana/PR","Municipal","Luiziana","PR","Não informado","700106/2011","2018-07-02","782863","1621472","em andamento / já devia ter sido entregue / sem endereço"
"470","700037/11 - Escola de Educação Infantil C -Cônego Marinho/MG","Municipal","Cônego Marinho","MG","Não informado","700037/2011","2018-07-29","382628","780597","em andamento / já devia ter sido entregue / sem endereço"
"471","700235/11 - Escola de Educação Infantil- Socorro do Piauí/PI","Municipal","Socorro do Piauí","PI","rua rosendo vieira.","700235/2011","2019-05-06","419872","869642","paralisada"
"472","700142/11 - Escola de Educação Infantil - Julio Borges/PI","Municipal","Júlio Borges","PI","rua juscelino kubischek.","700142/2011","2017-01-10","419192","861775","paralisada / já devia ter sido entregue"
"473","700270/11 - Espaço Ed. Urbano - Santa Maria da Boa Vista/PE","Municipal","Santa Maria da Boa Vista","PE","fazenda badajós","700270/2011","2016-12-30","576508","sem informação","paralisada / já devia ter sido entregue"
"474","700044/11 - Escola de Educação Infantil B - Inimutaba/MG","Municipal","Inimutaba","MG","rua juscelino kubitschek","700044/2011","2018-08-31","906804","1854009","paralisada / já devia ter sido entregue"
"475","700151/11 - Escola de Educação Infantil B - Ituiutaba/MG","Municipal","Ituiutaba","MG","rua 37","700151/2011","2018-08-30","895808","1841601","em andamento / já devia ter sido entregue"
"476","700046/11 - Escola de Educação Infantil B - Japonvar/MG","Municipal","Japonvar","MG","rua 3 esquina com rua e, no bairro são geraldo","700046/2011","2018-08-30","808598","1658028","em andamento / já devia ter sido entregue"
"477","700238/11 - Escola de Educação Infantil - Colares/PA","Municipal","Colares","PA","av. nossa senhora da conceição.","700238/2011","2016-11-25","861815","1767149","paralisada / já devia ter sido entregue"
"478","700164/11 - E Educação Infantil B - Santana de Pirapama/MG","Municipal","Santana de Pirapama","MG","rua josé marques pereira","700164/2011","2016-12-31","834093","1710304","paralisada / já devia ter sido entregue"
"479","700165/11 - EEducação Infantil B - São Francisco de Sales/MG","Municipal","São Francisco de Sales","MG","rua onze","700165/2011","2016-12-28","859399","1758494","paralisada / já devia ter sido entregue"
"480","700206/11 - Escola de Educação Infantil C - Timóteo/MG","Municipal","Timóteo","MG","Não informado","700206/2011","2018-12-30","420183","861583","em andamento / sem endereço"
"481","700169/11 - Espaço Educativo Urbano - Bela Vista/MS","Municipal","Bela Vista","MS","Não informado","700169/2011","2017-11-30","409807","sem informação","paralisada / já devia ter sido entregue / sem endereço"
"482","700156/11 - E Educativo Urbano - Cachoeirinha - Miranda/MS","Municipal","Miranda","MS","Não informado","700156/2011","2016-07-13","1026217","sem informação","paralisada / já devia ter sido entregue / sem endereço"
"483","700156/11 - E Educativo Urbano - Moreira - Miranda/MS","Municipal","Miranda","MS","Não informado","700156/2011","2016-07-12","1026217","sem informação","paralisada / já devia ter sido entregue / sem endereço"
"484","700109/11 - Escola de Ed. Infantil - Canabrava do Norte/MT","Municipal","Canabrava do Norte","MT","Não informado","700109/2011","2018-12-31","420991","863240","em andamento / sem endereço"
"485","700282/11 - Escola de Educação Infantil C - Apiacás/MT","Municipal","Apiacás","MT","avenida gavião, quadra 09","700282/2011","2018-08-31","421433","861641","em andamento / já devia ter sido entregue"
"486","700276/11 - E Educativo Urbano - Baixão - Campinápolis/MT","Municipal","Campinápolis","MT","Não informado","700276/2011","2018-12-29","2679033","sem informação","em andamento / sem endereço"
"487","700276/11 - E Educativo Urbano - Campinas - Campinápolis/MT","Municipal","Campinápolis","MT","Não informado","700276/2011","2018-12-29","2679033","sem informação","em andamento / sem endereço"
"488","700276/11 - E E Urbano - Santa Clara - Campinápolis/MT","Municipal","Campinápolis","MT","Não informado","700276/2011","2018-12-29","2679033","sem informação","em andamento / sem endereço"
"489","700276/11 - E Educativo Urbano - S. Pedro - Campinápolis/MT","Municipal","Campinápolis","MT","Não informado","700276/2011","2018-12-29","2679033","sem informação","em andamento / sem endereço"
"490","700276/11 - E E Urbano - Santa Célia - Campinápolis/MT","Municipal","Campinápolis","MT","Não informado","700276/2011","2018-12-29","2679033","sem informação","em andamento / sem endereço"
"491","700195/11 - EE Infantil - Vila Romana - Ponta Grrossa/PR","Municipal","Ponta Grossa","PR","rua edmundo kruger","700195/2011","2014-04-15","7216521","sem informação","não iniciada / já devia ter sido entregue"
"492","700195/11 - EE Infantil - Vila Cristina - Ponta Grrossa/PR","Municipal","Ponta Grossa","PR","rua casemiro reis/rua paes de andrade/ rua martins pena","700195/2011","2014-04-15","7216521","sem informação","não iniciada / já devia ter sido entregue"
"493","700195/11 - EE Infantil - 31 de Março - Ponta Grrossa/PR","Municipal","Ponta Grossa","PR","rua abílio holzmann/bairro dos neves","700195/2011","2018-12-09","7216521","sem informação","paralisada"
"494","700269/11 - EE Urbano - União Conselh- Monte A de Sergipe/SE","Municipal","Monte Alegre de Sergipe","SE","Não informado","700269/2011","2016-12-31","626021","sem informação","paralisada / já devia ter sido entregue / sem endereço"
"495","702422/10 - Escola Padrão MEC - Brasil Prof - São Joaquim/SC","Estadual","São Joaquim","SC","Não informado","702422/2010","2018-08-15","12859237","sem informação","em andamento / já devia ter sido entregue / sem endereço"
"496","700384/11 - Escola de Educação Infantil - Pedrinópolis/MG","Municipal","Pedrinópolis","MG","rua abílio rodrigues","700384/2011","2014-11-17","423846","871342","paralisada / já devia ter sido entregue"
"497","700309/11 - Escola de Educação Infantil B - Caridade/CE","Municipal","Caridade","CE","rua gabriela santiago","700309/2011",NA,"902884","1851360","paralisada"
"498","700330/11 - Escola de Educação Infantil- Guarani de Goiás/GO","Municipal","Guarani de Goiás","GO","praça da matriz","700330/2011","2018-12-18","896299","1837857","paralisada"
"499","700371/11 - Escola de Educação Infantil - Alvarães/AM","Municipal","Alvarães","AM","avenida de sete setembro","700371/2011","2016-12-31","898082","1841515","paralisada / já devia ter sido entregue"
"500","700308/11 - Escola de Educação Infantil B - Mineiros/GO","Municipal","Mineiros","GO","rua perobeiras esquina com rua araguaia","700308/2011","2018-07-16","902138","1849831","em andamento / já devia ter sido entregue"
"501","700311/11 - E Edu Infantil C - Palmeira/SC","Municipal","Palmeira","SC","Não informado","700311/2011",NA,"421682","862151","paralisada / sem endereço"
"502","700505/11 - Esc. Ed. Infantil - Muquem de São Francisco/BA","Municipal","Muquém de São Francisco","BA","rua principal","700505/2011","2018-08-20","417534","858366","em andamento / já devia ter sido entregue"
"503","700306/11 - Escola de Educação Infantil B - Planalto/BA","Municipal","Planalto","BA","praça valdemira gomes dos santos","700306/2011","2018-08-20","870357","1784664","em andamento / já devia ter sido entregue"
"504","700376/11 - Escola de Educação Infantil Tipo B - Avaré/SP","Municipal","Avaré","SP","Não informado","700376/2011",NA,"782531","1616609","não iniciada / sem endereço"
"505","700327/11 - Escola de Educação Infantil - Aragominas/TO","Municipal","Aragominas","TO","Não informado","700327/2011","2017-07-27","903970","1849695","paralisada / já devia ter sido entregue / sem endereço"
"506","702419/2010 - EEdu Profissionalizante - Diamante do Norte/PR","Estadual","Diamante do Norte","PR","Não informado","702419/2010",NA,"8440429","13824738","não iniciada / sem endereço"
"507","SANTARENZINHO","Municipal","Santarém","PA","rua aspargo","11562/2014","2015-05-04","410280","2250810","não iniciada / já devia ter sido entregue"
"508","CENTRO DE EDUCAÇÃO INFANTIL","Municipal","Colniza","MT","rua dos girassois setor residencial b","136/2011","2016-10-05","1588316","1645211","paralisada / já devia ter sido entregue"
"509","terreno","Municipal","Bom Sucesso de Itararé","SP","rua antonio carlos ruivo","1282/2011","2015-03-31","580267","849304","paralisada / já devia ter sido entregue"
"510","SEDE DO MUNICIPIO DE CAJAZEIRAS DO PIAUI","Municipal","Cajazeiras do Piauí","PI","rua cajazeiras, sede do municipio","1831/2011","2015-12-31","424066","868291","paralisada / já devia ter sido entregue"
"511","VILA APARECIDA","Municipal","Tanque d'Arca","AL","rua da paz","1935/2011","2018-07-14","530602","868945","em andamento / já devia ter sido entregue"
"512","rua 01","Municipal","São Pedro da Água Branca","MA","rua presidente geisel","1868/2011","2013-04-06","1756567","1812643","paralisada / já devia ter sido entregue"
"513","CRECHE NOVO MÉXICO","Municipal","São Gonçalo","RJ","rua carlos walter hisserich","11563/2014",NA,"0","1335519","não iniciada"
"514","ESCOLA INFANTIL TIPO C - SERRA DA TAPUIA","Municipal","Sítio Novo","RN","rua projetada","269/2011","2015-12-30","637602","870967","paralisada / já devia ter sido entregue"
"515","CENTRO","Municipal","Poço Branco","RN","rua projetada","263/2011","2018-06-30","846477","870967","paralisada / já devia ter sido entregue"
"516","Av. Aristides Souza","Municipal","Montes Altos","MA","avenida aristides sousa","1467/2011","2020-12-31","1780124","1826170","paralisada"
"517","AVENIDA PRESIDENTE VARGAS","Municipal","Vila Nova dos Martírios","MA","avenida presidente vargas","1500/2011","2014-11-04","1774126","1817793","paralisada / já devia ter sido entregue"
"518","Rua São Pedro","Municipal","São Francisco do Brejão","MA","rua são pedro","1872/2011","2016-12-31","888593","1816073","paralisada / já devia ter sido entregue"
"519","Creche Parque dos Faróis I","Municipal","Nossa Senhora do Socorro","SE","entre a rua 23 e rua projetada","4017/2013","2014-05-16","363740","1509425","não iniciada / já devia ter sido entregue"
"520","Creche Pai André","Municipal","Nossa Senhora do Socorro","SE","entre as rua carlos meneses, ana neri e presidente costa e silva","4017/2013","2014-05-16","401677","1509425","não iniciada / já devia ter sido entregue"
"521","Creche","Municipal","Cacaulândia","RO","lote02/a quadra 02/b","4225/2013","2014-04-29","172400","1150255","não iniciada / já devia ter sido entregue"
"522","Cinelândia","Municipal","Orizona","GO","avenida rafael lemos franco","2024/2011","2018-07-19","565055","866772","em andamento / já devia ter sido entregue"
"523","Bairro São Gonçalo","Municipal","Serra Dourada","BA","avenida são cristóvão","1247/2011","2012-11-05","1794391","1848921","paralisada / já devia ter sido entregue"
"524","IBIAJARA","Municipal","Rio do Pires","BA","rua principal","1918/2011","2018-08-31","729940","870965","em andamento / já devia ter sido entregue"
"525","CRECHE DE ITATIAIA","Municipal","São José do Jacuípe","BA","distrito de itatiaia","4021/2013","2016-12-30","590578","1152595","paralisada / já devia ter sido entregue"
"526","Creche VIla Camila Maria de Omena","Municipal","Altinho","PE","rua projetada","1852/2011","2018-11-12","1675950","1752856","paralisada"
"527","CRECHE DO CAMPO VELHO","Municipal","Quixadá","CE","Não informado","1876/2011","2017-05-02","1369495","1868365","paralisada / já devia ter sido entregue / sem endereço"
"528","ÁREA PUBLICA (PARQUE DAS AMÉRICAS","Municipal","Cidade Ocidental","GO","área publica","1036/2011","2016-11-12","764418","1573016","paralisada / já devia ter sido entregue"
"529","CRECHE  BAIRRO ALMERINDA","Municipal","São Gonçalo","RJ","rua castro barbosa","11563/2014",NA,"0","988382","não iniciada"
"530","ESPAÇO EDUCATIVO INFANTIL TIPO B PROINFANCIA","Municipal","Conceição do Tocantins","TO","rua domiciana miranda conj 1 lote 02","1201/2011","2016-12-31","871039","1795214","paralisada / já devia ter sido entregue"
"531","TERRENO DESTINADO A CONSTRUÇÃO DE UMA ESCOLA INFANTIL","Municipal","Riacho de Santo Antônio","PB","rua - são sebastião","121/2011","2015-10-30","637147","870966","paralisada / já devia ter sido entregue"
"532","JARDIM PARAISO","Municipal","Porto Alegre","RS","avenida doutor joão dentice","2443/2012","2018-02-28","630778","877475","em andamento / já devia ter sido entregue"
"533","CENTRO INFANTIL MUNICIPAL ARCO IRIS","Municipal","Matozinhos","MG","rua guarapari","9809/2014",NA,"353332","1854191","não iniciada"
"534","Creche Cidadde Nova","Municipal","Igarapé-Miri","PA","rua major lira lobato","221/2011","2015-06-05","1610404","1648073","paralisada / já devia ter sido entregue"
"535","Proinfância_Espaço Educativo Infantil","Municipal","São Lourenço do Sul","RS","Não informado","351/2011","2018-12-31","1155056","1639851","em andamento / sem endereço"
"536","E.M.E.I. Bairro Vila Izabel","Municipal","Canguçu","RS","rua inácio teixeira filho","487/2011",NA,"1655247","1711188","paralisada"
"537","JARDIM NOROESTE","Municipal","Campo Grande","MS","rua adventor divino de almeida","2469/2012","2016-07-05","0","1804023","em andamento / já devia ter sido entregue"
"538","proprio","Municipal","Cândido Mendes","MA","rua felipe gomes","1866/2011","2014-02-01","846617","869472","paralisada / já devia ter sido entregue"
"539","Bairro  Augusto Nasser Borges","Municipal","Gongogi","BA","rua manoel euzebio","1928/2011","2017-05-13","1261059","1793116","paralisada / já devia ter sido entregue"
"540","Proinfância Mateiros","Municipal","Mateiros","TO","av. maranhão qi40","186/2011","2016-12-30","833713","870967","paralisada / já devia ter sido entregue"
"541","EMEI CRESCENDO COM ALEGRIA","Municipal","Garibaldi","RS","rua 15 de novembro","4117/2013","2018-09-03","1686865","1924189","paralisada / já devia ter sido entregue"
"542","Centro de Educação Infantil Francisca Maria da Silva","Municipal","Cacimbas","PB","rua projetada centro cacimbas pb","1856/2011","2018-07-11","783137","870693","em andamento / já devia ter sido entregue"
"543","Municipio de Lambari","Municipal","Lambari","MG","rua joaquim leão","10897/2014","2018-01-08","828295","1436083","paralisada / já devia ter sido entregue"
"544","QUADRA 16","Municipal","Marcelândia","MT","rua colider","159/2011","2016-12-31","427037","869299","paralisada / já devia ter sido entregue"
"545","vila velha","Municipal","Bocaiúva do Sul","PR","luiz carlos polli/caetsno munhoz da rocha","988/2011","2018-10-14","658452","870943","paralisada"
"546","AREA PROINFANCIA","Municipal","Joaquim Távora","PR","rua dos ipês","1645/2011","2018-07-28","741747","866628","em andamento / já devia ter sido entregue"
"547","CRECHE","Municipal","Salgadinho","PE","Não informado","1637/2011","2018-08-31","445484","870930","em andamento / já devia ter sido entregue / sem endereço"
"548","PROINFÂNCIA AVAI A1","Municipal","Avaí","SP","rua nassib josé antonio","303/2011","2015-12-30","585316","870740","paralisada / já devia ter sido entregue"
"549","Centro esportivo Bambú","Municipal","Mathias Lobato","MG","rua maria lopes cavalcante","1598/2011","2016-12-30","843227","869594","paralisada / já devia ter sido entregue"
"550","Escola Infantil","Municipal","Miraíma","CE","rua valdivino mendes","1884/2011","2018-07-31","840638","870961","em andamento / já devia ter sido entregue"
"551","Proinfancia Bairro São Geraldo","Municipal","Araçuaí","MG","Não informado","1778/2011","2018-08-09","1541477","1819197","paralisada / já devia ter sido entregue / sem endereço"
