"Usuário","ID da OBRA","Nome da Obra","Comentário","ID das Incongruências"
"TDP2018","2176","830450 - Escola de Educação Infantil - Catingueira/PB",NA,"9;7"
"TDP2018","2178","830121 - Escola de Educação Infantil - Ipanema/MG",NA,"8"
"TDP2018","2182","830187 - Escola de Educação Infantil - Pacujá/CE",NA,"9"
"TDP2018","2188","830224 - Escola de Educação Infantil - Tipo B - Inhuma/PI",NA,"9;7"
"TDP2018","2207","700111 - Escola de Educação Infantil - Jaguaretama/CE",NA,"9;7"
"TDP2018","2232","700043 - Escola de Educação Infantil - Dirceu Arcoverde/PI",NA,"9;7"
"TDP2018","2238","830234 - Escola de Educação Infantil - Prudente de Morais/MG",NA,"8"
"TDP2018","2241","830294 - Escola de Educação Infantil - Santo Hipólito/MG",NA,"9;7"
"TDP2018","2247","830415 - Escola de Educação Infantil - Conchal/SP",NA,"8"
"TDP2018","2770","700020 -E Edu Infantil - B. Porto Meira - Foz do Iguaçu/PR",NA,"8"
"TDP2018","2860","830251 - Escola de Educação Infantil - Iracemápolis/SP",NA,"8"
"TDP2018","2927","710200 - Escola Municipal de Educação Infantil - Canela/RS",NA,"8"
"TDP2018","3551","710219 - Escola de Educação Infantil - Canguaretama/RN",NA,"9;7"
"TDP2018","3784","700297 - Escola de Educação Infantil - Coremas/PB",NA,"11"
"TDP2018","3800","700304 - Escola de Educação Infantil - Camaquã/RS",NA,"9;7"
"TDP2018","3805","700201 - Escola de Educação Infantil - Riachinho/TO",NA,"9;7"
"TDP2018","3810","700243 - Escola de Educação Infantil - Marcelino Vieira/RN",NA,"9"
"TDP2018","3831","710231 - Escola de Educação Infantil - Porto Real/RJ",NA,"9;7"
"TDP2018","4294","806060 - Espaço Educativo Urbano I - 12 Salas - Murici/AL",NA,"8"
"TDP2018","4443","700302 - EE Infantil - Canaã II - Uberlândia/MG",NA,"9;7"
"TDP2018","4474","806102 - E Educ Infantil - Várzea Grande/MT- João Celestino",NA,"9;7;8"
"TDP2018","4631","700153 - Escola de Educação Infantil - Tipo B - Goianá/MG",NA,"8"
"TDP2018","5286","750011 - Centro de Ensino Profª Olgarina P. Pinheiro - Brasil Profissionalizado - Conceição do Coité/BA",NA,"7"
"TDP2018","5306","750011 - Centro de Ensino Nossa Senhora das Graças - Brasil Profissionalizado - Araci/BA",NA,"7"
"TDP2018","5311","750011 - CTE Profissional do Sertão Produtivo - Caetité/BA",NA,"7"
"TDP2018","5313","750011 - Centro de Ensino Cidade de Camaçari - Brasil Profissionalizado - Camaçari/BA",NA,"8"
"TDP2018","5317","750015 - CEEP de Curitiba - Ampl/Ref - Curitiba/PR",NA,"9;7"
"TDP2018","5318","750015 - CEEP Francisco C Martins - Ampl - Guarapuava/PR",NA,"11"
"TDP2018","5337","750011 - Centro de Ensino Casa Jovem II - Brasil Profissionalizado - Igrapiúna/BA",NA,"8"
"TDP2018","5352","750011 - CEE Prof em Biotecnologia e Saude - Itabuna/BA",NA,"8"
"TDP2018","5353","750011 - Centro de Ensino Jubilino Cunegundes - Brasil Profissionalizado - Morro do Chapéu/BA",NA,"7"
"TDP2018","5365","750015 - CE Olavo Bilac - Ampl/Ref - Ibiporã/PR",NA,"8"
"TDP2018","5370","750011 - Centro de Ensino Alberto Torres - Brasil Profissionalizado - Cruz das Almas/BA",NA,"8"
"TDP2018","5402","750014 - CEFAPRO - 4 SALAS - Brasil Profissionalizado - Construção - Pontes e Lacerda/MT",NA,"9;7"
"TDP2018","5430","750015 - CEEP de Arapoti - Ampl - Arapoti/PR",NA,"11"
"TDP2018","5431","750015 - CEEP Pedro Boaretto Neto - Ampl - Cascavel/PR",NA,"9;7"
"TDP2018","5444","700221 - Projeto Brasil Profissionalizado - Bacabeira/MA",NA,"8"
"TDP2018","5453","750014 - CEFAPRO - 4 SALAS - Brasil Profissionalizado - Construção - Primavera do Leste/MT",NA,"9;7"
"TDP2018","5463","750010 - Centro Integrado de Formação Profissional de Cameta - Brasil Profissionalizado - Ampliação e Reforma - Cametá/PA",NA,"8"
"TDP2018","5467","750010 - Escola de Estadual  de Trabalho e Produção do Pará - Brasil Profissionalizado - Ampliação e Reforma - Itaituba/PA",NA,"8"
"TDP2018","5469","750010 - Escola Estadual de Ensino Medio Magalhaes Barata - Brasil Profissionalizado - Ampliação e Reforma - Belem/PA",NA,"11;8"
"TDP2018","5502","750011 - CTE Prof do Extremo Sul - Teixeira de Freitas/BA",NA,"8"
"TDP2018","5510","750011 - Escola Polivalente de Santo Amaro - Brasil Profissionalizado - Santo Amaro/BA",NA,"8"
"TDP2018","5514","750011 - Centro de Ensino Ernesto Carneiro Ribeiro - Brasil Profissionalizado - Saúde/BA",NA,"7"
"TDP2018","5566","806027 - EEEF Kurana Kaxarari -  - Construção - Porto Velho/RO",NA,"8"
"TDP2018","5572","700255 - Espaço Educativo Urbano II - 04 Salas  -  - Construção - Central/BA",NA,"9;7"
"TDP2018","5582","700086 - EE Nossa Senhora de Fátima - Ampl/Ref - Sanharo/PE",NA,"8"
"TDP2018","5598","806079 - Espaço Educativo Urbano II - 06 Salas - Vacaria/RS",NA,"8"
"TDP2018","5599","806079 - Espaço Educativo Urbano I - 12 Salas - Não-Me-Toque",NA,"8"
"TDP2018","5605","806017 - Projeto Escola Padrão SEDUC/MT  - 01 sala -  - Cons",NA,"8"
"TDP2018","5606","806017 - Projeto Escola Padrão SEDUC/MT",NA,"8"
"TDP2018","5607","806017 - Projeto Escola Padrão SEDUC/MT",NA,"8"
"TDP2018","5608","806017 - Projeto Escola Padrão SEDUC/MT",NA,"8"
"TDP2018","5609","806017 - Projeto Escola Padrão SEDUC/MT",NA,"8"
"TDP2018","5610","806017 - Projeto Escola Padrão SEDUC/MT  - 02 salas -  - Construção - São José do Xingu/MT",NA,"8"
"TDP2018","5611","806017 - Projeto Escola Padrão SEDUC/MT  - 01 sala -  - Construção - São José do Xingu/MT",NA,"8"
"TDP2018","5612","806017 - Projeto Escola Padrão SEDUC/MT  - 01 sala -  - Construção - São José do Xingu/MT",NA,"8"
"TDP2018","5616","700235 - Projeto Escola Padrão SEDUC/MT - 06 salas -Paranaíta/MT",NA,"9"
