"id","mes_ano","valor_do_pagamento","pagamento_cte_ago2018","nome","municipio","uf","responsabilidade","logradouro","ano_convenio","valor_pactuado_com_o_fnde","cancelada","concluida","paralisada","nao_iniciada","execucao","atrasada","sem_end","status","situacao_segundo_tbrasil","status_segundo_simec","ano_fim_vigencia_convenio","termo_convenio","data_prevista_de_conclusao_da_obra","data_final_prevista_e_estimada","ano_data_final_prevista_e_estimada","tipo_do_projeto","projeto_obra_transparente"
"19600","08/2011",171901.53,240260,"LOTEAMENTO EUCALIPTO","Pelotas","RS","Municipal","rua dos açores","2013","1196771.39",0,0,0,0,1,0,0,"execucao","em andamento","Execução","2018","4136/2013",2019-04-10,2019-04-10,"2019","Projeto 2 Convencional",1
"19651","05/2018",27171.33,27676,"EMEI Morada do Vale II","Gravataí","RS","Municipal","rua ernesto alves","2013","1492930.41",0,0,0,0,1,0,0,"execucao","em andamento","Execução","2018","4113/2013",2018-10-02,2018-10-02,"2018","MI - Escola de Educação Infantil Tipo B",1
"19651","05/2018",47503.64,48386,"EMEI Morada do Vale II","Gravataí","RS","Municipal","rua ernesto alves","2013","1492930.41",0,0,0,0,1,0,0,"execucao","em andamento","Execução","2018","4113/2013",2018-10-02,2018-10-02,"2018","MI - Escola de Educação Infantil Tipo B",1
"19651","04/2018",522525.64,532332,"EMEI Morada do Vale II","Gravataí","RS","Municipal","rua ernesto alves","2013","1492930.41",0,0,0,0,1,0,0,"execucao","em andamento","Execução","2018","4113/2013",2018-10-02,2018-10-02,"2018","MI - Escola de Educação Infantil Tipo B",1
"19651","01/2014",89575.82,110084,"EMEI Morada do Vale II","Gravataí","RS","Municipal","rua ernesto alves","2013","1492930.41",0,0,0,0,1,0,0,"execucao","em andamento","Execução","2018","4113/2013",2018-10-02,2018-10-02,"2018","MI - Escola de Educação Infantil Tipo B",1
"19651","01/2014",395763.06,486373,"EMEI Morada do Vale II","Gravataí","RS","Municipal","rua ernesto alves","2013","1492930.41",0,0,0,0,1,0,0,"execucao","em andamento","Execução","2018","4113/2013",2018-10-02,2018-10-02,"2018","MI - Escola de Educação Infantil Tipo B",1
"19651","11/2011",263842.04,363358,"EMEI Morada do Vale II","Gravataí","RS","Municipal","rua ernesto alves","2013","1492930.41",0,0,0,0,1,0,0,"execucao","em andamento","Execução","2018","4113/2013",2018-10-02,2018-10-02,"2018","MI - Escola de Educação Infantil Tipo B",1
"19778","08/2011",261014.06,364809,"Estação dos Ventos","Santa Maria","RS","Municipal","rua luiz castagna","2013","1196771.39",0,0,0,1,0,1,0,"não iniciada","não iniciada e já devia ter sido entregue","Planejamento pelo proponente","2019","4216/2013",NA,2014-07-14,"2014","Projeto 2 Convencional",1
"19874","02/2015",141644.39,163915,"EMEI Princesas","Gravataí","RS","Municipal","avenida b esquina com a rua 02","2013","786913.29",0,0,1,0,0,1,0,"paralisada","paralisada e já devia ter sido entregue","Paralisada","2018","4114/2013",2016-03-31,2016-03-31,"2016","MI - Escola de Educação Infantil Tipo C",1
"19874","07/2011",247990.73,348513,"EMEI Princesas","Gravataí","RS","Municipal","avenida b esquina com a rua 02","2013","786913.29",0,0,1,0,0,1,0,"paralisada","paralisada e já devia ter sido entregue","Paralisada","2018","4114/2013",2016-03-31,2016-03-31,"2016","MI - Escola de Educação Infantil Tipo C",1
"19887","05/2014",283527.24,340036,"Terreno Alto Bonito","Caçador","SC","Municipal","rua victor hugo petry","2011","1134108.98",0,0,1,0,0,1,0,"paralisada","paralisada e já devia ter sido entregue","Inacabada","2016","274/2011",2016-10-24,2016-10-24,"2016","Escola de Educação Infantil Tipo B",1
"19887","11/2012",283527.24,375071,"Terreno Alto Bonito","Caçador","SC","Municipal","rua victor hugo petry","2011","1134108.98",0,0,1,0,0,1,0,"paralisada","paralisada e já devia ter sido entregue","Inacabada","2016","274/2011",2016-10-24,2016-10-24,"2016","Escola de Educação Infantil Tipo B",1
"19887","06/2012",340232.69,464153,"Terreno Alto Bonito","Caçador","SC","Municipal","rua victor hugo petry","2011","1134108.98",0,0,1,0,0,1,0,"paralisada","paralisada e já devia ter sido entregue","Inacabada","2016","274/2011",2016-10-24,2016-10-24,"2016","Escola de Educação Infantil Tipo B",1
"19887","07/2011",226821.8,318763,"Terreno Alto Bonito","Caçador","SC","Municipal","rua victor hugo petry","2011","1134108.98",0,0,1,0,0,1,0,"paralisada","paralisada e já devia ter sido entregue","Inacabada","2016","274/2011",2016-10-24,2016-10-24,"2016","Escola de Educação Infantil Tipo B",1
"19910","08/2011",261014.06,364809,"Vila São João Batista","Santa Maria","RS","Municipal","rua domingos de almeida","2013","1533938.38",0,0,0,1,0,0,0,"não iniciada","não iniciada","Em Reformulação","2019","4216/2013",NA,NA,NA,"MI - Escola de Educação Infantil Tipo B",1
"19965","01/2015",398983.65,464440,"Diácono Luiz Pozzobom","Santa Maria","RS","Municipal","rua a esq rua c","2013","1512730.42",0,0,1,0,0,0,0,"paralisada","paralisada","Licitação","2019","4215/2013",NA,NA,NA,"Projeto Tipo B - Bloco Estrutural",1
"19965","01/2015",90763.82,105654,"Diácono Luiz Pozzobom","Santa Maria","RS","Municipal","rua a esq rua c","2013","1512730.42",0,0,1,0,0,0,0,"paralisada","paralisada","Licitação","2019","4215/2013",NA,NA,NA,"Projeto Tipo B - Bloco Estrutural",1
"19965","11/2011",265989.1,366315,"Diácono Luiz Pozzobom","Santa Maria","RS","Municipal","rua a esq rua c","2013","1512730.42",0,0,1,0,0,0,0,"paralisada","paralisada","Licitação","2019","4215/2013",NA,NA,NA,"Projeto Tipo B - Bloco Estrutural",1
"20024","08/2011",122786.81,171614,"EMEI MONTE BONITO","Pelotas","RS","Municipal","rua principal","2013","811383.29",0,0,0,1,0,1,0,"não iniciada","não iniciada e já devia ter sido entregue","Planejamento pelo proponente","2018","4136/2013",NA,2014-03-05,"2014","MI - Escola de Educação Infantil Tipo C",1
"20029","12/2016",11967.71,12087,"EMEI SÍTIO FLORESTA","Pelotas","RS","Municipal","rua ignácio teixeira machado","2013","1196771.39",0,0,0,0,1,0,0,"execucao","em andamento","Execução","2018","4136/2013",2019-04-10,2019-04-10,"2019","Projeto 2 Convencional",1
"20029","08/2011",171901.53,240260,"EMEI SÍTIO FLORESTA","Pelotas","RS","Municipal","rua ignácio teixeira machado","2013","1196771.39",0,0,0,0,1,0,0,"execucao","em andamento","Execução","2018","4136/2013",2019-04-10,2019-04-10,"2019","Projeto 2 Convencional",1
"20033","12/2016",11967.71,12087,"LOTEAMENTO DUNAS","Pelotas","RS","Municipal","rua giovani guimarães","2013","1196771.39",0,0,0,0,1,0,0,"execucao","em andamento","Execução","2018","4136/2013",2019-04-10,2019-04-10,"2019","Projeto 2 Convencional",1
"20033","08/2011",171901.53,240260,"LOTEAMENTO DUNAS","Pelotas","RS","Municipal","rua giovani guimarães","2013","1196771.39",0,0,0,0,1,0,0,"execucao","em andamento","Execução","2018","4136/2013",2019-04-10,2019-04-10,"2019","Projeto 2 Convencional",1
"20061","08/2011",122786.81,171614,"EMEI Z3","Pelotas","RS","Municipal","rua almirante rafael brusque","2013","811383.29",0,0,0,1,0,1,0,"não iniciada","não iniciada e já devia ter sido entregue","Planejamento pelo proponente","2018","4136/2013",NA,2014-03-05,"2014","MI - Escola de Educação Infantil Tipo C",1
"20098","08/2011",261014.06,364809,"Vila Jardim","Santa Maria","RS","Municipal","rua bolívia (prolongamento)","2013","1527584.98",0,0,0,1,0,1,0,"não iniciada","não iniciada e já devia ter sido entregue","Em Reformulação","2019","4216/2013",NA,2014-04-15,"2014","MI - Escola de Educação Infantil Tipo B",1
"20179","12/2016",11967.71,12087,"VILA PRINCESA","Pelotas","RS","Municipal","avenida quatro","2013","1196771.39",0,0,0,0,1,0,0,"execucao","em andamento","Execução","2018","4136/2013",2019-04-10,2019-04-10,"2019","Projeto 2 Convencional",1
"20179","08/2011",171901.55,240260,"VILA PRINCESA","Pelotas","RS","Municipal","avenida quatro","2013","1196771.39",0,0,0,0,1,0,0,"execucao","em andamento","Execução","2018","4136/2013",2019-04-10,2019-04-10,"2019","Projeto 2 Convencional",1
"24448","08/2014",71950.74,85656,"PAC 2 - CRECHE/PRÉ-ESCOLA  002","Limeira","SP","Municipal","rua treze a","2013","1979860.84",0,0,0,1,0,1,0,"não iniciada","não iniciada e já devia ter sido entregue","Planejamento pelo proponente","2018","4078/2013",NA,2014-11-01,"2014","Projeto 1 Convencional",1
"24448","06/2012",289999.33,395623,"PAC 2 - CRECHE/PRÉ-ESCOLA  002","Limeira","SP","Municipal","rua treze a","2013","1979860.84",0,0,0,1,0,1,0,"não iniciada","não iniciada e já devia ter sido entregue","Planejamento pelo proponente","2018","4078/2013",NA,2014-11-01,"2014","Projeto 1 Convencional",1
"24449","03/2016",303967.71,318545,"PAC 2 - CRECHE/PRÉ-ESCOLA  004","Limeira","SP","Municipal","avenida dr joão de oliveira silveira","2013","1519838.54",0,0,0,0,1,0,0,"execucao","em andamento","Execução","2018","4078/2013",NA,2019-01-15,"2019","MI - Escola de Educação Infantil Tipo B",1
"24449","08/2014",71950.06,85655,"PAC 2 - CRECHE/PRÉ-ESCOLA  004","Limeira","SP","Municipal","avenida dr joão de oliveira silveira","2013","1519838.54",0,0,0,0,1,0,0,"execucao","em andamento","Execução","2018","4078/2013",NA,2019-01-15,"2019","MI - Escola de Educação Infantil Tipo B",1
"24449","07/2014",289999.66,345618,"PAC 2 - CRECHE/PRÉ-ESCOLA  004","Limeira","SP","Municipal","avenida dr joão de oliveira silveira","2013","1519838.54",0,0,0,0,1,0,0,"execucao","em andamento","Execução","2018","4078/2013",NA,2019-01-15,"2019","MI - Escola de Educação Infantil Tipo B",1
"24449","06/2012",289999.67,395624,"PAC 2 - CRECHE/PRÉ-ESCOLA  004","Limeira","SP","Municipal","avenida dr joão de oliveira silveira","2013","1519838.54",0,0,0,0,1,0,0,"execucao","em andamento","Execução","2018","4078/2013",NA,2019-01-15,"2019","MI - Escola de Educação Infantil Tipo B",1
"24450","08/2014",148896.29,177258,"PAC 2 - CI Caroline Pardo 001","Limeira","SP","Municipal","rua josefa raimundo candiotto","2013","4192331.79",0,0,0,1,0,0,0,"não iniciada","não iniciada","Planejamento pelo proponente","2018","4078/2013",NA,NA,NA,"Escola de Educação Infantil Tipo A",1
"24450","06/2012",580000,791249,"PAC 2 - CI Caroline Pardo 001","Limeira","SP","Municipal","rua josefa raimundo candiotto","2013","4192331.79",0,0,0,1,0,0,0,"não iniciada","não iniciada","Planejamento pelo proponente","2018","4078/2013",NA,NA,NA,"Escola de Educação Infantil Tipo A",1
"24484","06/2018",198707.05,199621,"PAC 2 - CRECHE/PRÉ-ESCOLA  005","São José dos Campos","SP","Municipal","avenida joão rodolfo castelli","2012","8477691.43",0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","2018","3126/2012",2018-04-06,2018-04-06,"2018","Escola de Educação Infantil Tipo A",1
"24484","02/2018",684128.63,695993,"PAC 2 - CRECHE/PRÉ-ESCOLA  005","São José dos Campos","SP","Municipal","avenida joão rodolfo castelli","2012","8477691.43",0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","2018","3126/2012",2018-04-06,2018-04-06,"2018","Escola de Educação Infantil Tipo A",1
"24484","02/2018",23695.4,24106,"PAC 2 - CRECHE/PRÉ-ESCOLA  005","São José dos Campos","SP","Municipal","avenida joão rodolfo castelli","2012","8477691.43",0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","2018","3126/2012",2018-04-06,2018-04-06,"2018","Escola de Educação Infantil Tipo A",1
"24484","12/2017",847769.14,860832,"PAC 2 - CRECHE/PRÉ-ESCOLA  005","São José dos Campos","SP","Municipal","avenida joão rodolfo castelli","2012","8477691.43",0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","2018","3126/2012",2018-04-06,2018-04-06,"2018","Escola de Educação Infantil Tipo A",1
"24484","12/2017",342064.31,347335,"PAC 2 - CRECHE/PRÉ-ESCOLA  005","São José dos Campos","SP","Municipal","avenida joão rodolfo castelli","2012","8477691.43",0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","2018","3126/2012",2018-04-06,2018-04-06,"2018","Escola de Educação Infantil Tipo A",1
"24484","12/2017",2032102.64,2063415,"PAC 2 - CRECHE/PRÉ-ESCOLA  005","São José dos Campos","SP","Municipal","avenida joão rodolfo castelli","2012","8477691.43",0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","2018","3126/2012",2018-04-06,2018-04-06,"2018","Escola de Educação Infantil Tipo A",1
"24484","12/2017",423884.57,430416,"PAC 2 - CRECHE/PRÉ-ESCOLA  005","São José dos Campos","SP","Municipal","avenida joão rodolfo castelli","2012","8477691.43",0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","2018","3126/2012",2018-04-06,2018-04-06,"2018","Escola de Educação Infantil Tipo A",1
"24484","08/2017",920677.29,938505,"PAC 2 - CRECHE/PRÉ-ESCOLA  005","São José dos Campos","SP","Municipal","avenida joão rodolfo castelli","2012","8477691.43",0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","2018","3126/2012",2018-04-06,2018-04-06,"2018","Escola de Educação Infantil Tipo A",1
"24484","06/2012",1368257.26,1866607,"PAC 2 - CRECHE/PRÉ-ESCOLA  005","São José dos Campos","SP","Municipal","avenida joão rodolfo castelli","2012","8477691.43",0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","2018","3126/2012",2018-04-06,2018-04-06,"2018","Escola de Educação Infantil Tipo A",1
"24531","06/2012",135996.33,185529,"PAC 2 - CRECHE/PRÉ-ESCOLA MCMV  001","Santa Maria","RS","Municipal","rua vereador antônio dias","2014","811489.49",0,0,0,1,0,1,0,"não iniciada","não iniciada e já devia ter sido entregue","Planejamento pelo proponente","2019","11203/2014",NA,2014-02-14,"2014","MI - Escola de Educação Infantil Tipo C",1
"24532","09/2014",277331.3,327992,"Residencial Lopes","Santa Maria","RS","Municipal","rua antonio rossi, s/nº","2014","1537625.78",0,0,1,0,0,1,0,"paralisada","paralisada e já devia ter sido entregue","Em Reformulação","2019","11203/2014",2016-03-24,2016-03-24,"2016","MI - Escola de Educação Infantil Tipo B",1
"24532","09/2014",215267.61,254591,"Residencial Lopes","Santa Maria","RS","Municipal","rua antonio rossi, s/nº","2014","1537625.78",0,0,1,0,0,1,0,"paralisada","paralisada e já devia ter sido entregue","Em Reformulação","2019","11203/2014",2016-03-24,2016-03-24,"2016","MI - Escola de Educação Infantil Tipo B",1
"24532","06/2012",277331.3,378341,"Residencial Lopes","Santa Maria","RS","Municipal","rua antonio rossi, s/nº","2014","1537625.78",0,0,1,0,0,1,0,"paralisada","paralisada e já devia ter sido entregue","Em Reformulação","2019","11203/2014",2016-03-24,2016-03-24,"2016","MI - Escola de Educação Infantil Tipo B",1
"24533","06/2012",135740.14,185180,"PAC_  DOM LUIZ  VICTOR  SARTORI","Santa Maria","RS","Municipal","rua  ceará    s/n","2014","812020.49",0,0,0,1,0,1,0,"não iniciada","não iniciada e já devia ter sido entregue","Planejamento pelo proponente","2019","11203/2014",NA,2014-02-14,"2014","MI - Escola de Educação Infantil Tipo C",1
"24534","10/2014",276437.22,325697,"PAC 2 - CRECHE Municipal Bairro Nossa Senhora da Medianeira","Santa Maria","RS","Municipal","rua joão batista da cruz jobim","2014","1518709.12",0,0,1,0,0,0,0,"paralisada","paralisada","Licitação","2019","11203/2014",NA,NA,NA,"Projeto Tipo B - Bloco Estrutural",1
"24534","10/2014",212619.28,250507,"PAC 2 - CRECHE Municipal Bairro Nossa Senhora da Medianeira","Santa Maria","RS","Municipal","rua joão batista da cruz jobim","2014","1518709.12",0,0,1,0,0,0,0,"paralisada","paralisada","Licitação","2019","11203/2014",NA,NA,NA,"Projeto Tipo B - Bloco Estrutural",1
"24534","06/2012",276437.22,377122,"PAC 2 - CRECHE Municipal Bairro Nossa Senhora da Medianeira","Santa Maria","RS","Municipal","rua joão batista da cruz jobim","2014","1518709.12",0,0,1,0,0,0,0,"paralisada","paralisada","Licitação","2019","11203/2014",NA,NA,NA,"Projeto Tipo B - Bloco Estrutural",1
"24535","09/2014",290850.93,343981,"PAC 2 - CRECHE SANTA MARTA","Santa Maria","RS","Municipal","av. manoel malmann filho","2014","1533985.25",0,0,1,0,0,0,0,"paralisada","paralisada","Licitação","2019","11203/2014",NA,NA,NA,"Projeto Tipo B - Bloco Estrutural",1
"24535","09/2014",184078.23,217704,"PAC 2 - CRECHE SANTA MARTA","Santa Maria","RS","Municipal","av. manoel malmann filho","2014","1533985.25",0,0,1,0,0,0,0,"paralisada","paralisada","Licitação","2019","11203/2014",NA,NA,NA,"Projeto Tipo B - Bloco Estrutural",1
"24535","06/2012",290850.94,396785,"PAC 2 - CRECHE SANTA MARTA","Santa Maria","RS","Municipal","av. manoel malmann filho","2014","1533985.25",0,0,1,0,0,0,0,"paralisada","paralisada","Licitação","2019","11203/2014",NA,NA,NA,"Projeto Tipo B - Bloco Estrutural",1
"24536","09/2014",214449.87,253624,"PAC 2 - CRECHE/PRÉ-ESCOLA  002 LOTEAMENTO MONTE BELO-CAMOBI","Santa Maria","RS","Municipal","rua dyonélio machado s/nº","2014","1531784.78",0,0,1,0,0,0,0,"paralisada","paralisada","Licitação","2019","11203/2014",NA,NA,NA,"Projeto Tipo B - Bloco Estrutural",1
"24536","09/2014",275947.69,326356,"PAC 2 - CRECHE/PRÉ-ESCOLA  002 LOTEAMENTO MONTE BELO-CAMOBI","Santa Maria","RS","Municipal","rua dyonélio machado s/nº","2014","1531784.78",0,0,1,0,0,0,0,"paralisada","paralisada","Licitação","2019","11203/2014",NA,NA,NA,"Projeto Tipo B - Bloco Estrutural",1
