"","uf","municipio","quantidade_obras_notificadas","valor_pago_obras_notificadas"
"1464","RN","Triunfo Potiguar",1,959109
"1465","RN","Umarizal",1,0
"1466","RO","Alta Floresta D'Oeste",2,918359
"1467","RO","Alto Alegre dos Parecis",1,531635
"1468","RO","Ariquemes",3,3706930
"1469","RO","Cacaulândia",3,408941
"1470","RO","Campo Novo de Rondônia",4,2252498
"1471","RO","Candeias do Jamari",1,0
"1472","RO","Cujubim",1,0
"1473","RO","Governador Jorge Teixeira",1,0
"1474","RO","Guajará-Mirim",1,1422100
"1475","RO","Jaru",2,0
"1476","RO","Ji-Paraná",1,0
"1477","RO","Machadinho D Oeste",2,972642
"1478","RO","Monte Negro",1,1246390
"1479","RO","Nova Mamoré",2,1056207
"1480","RO","Pimenta Bueno",2,1511550
"1481","RO","Porto Velho",19,6389323
"1482","RO","Rolim de Moura",2,2325731
"1483","RO","São Miguel do Guaporé",1,525452
"1484","RO","Seringueiras",1,1377729
"1485","RO","Theobroma",1,0
"1486","RO","Vilhena",5,2021908
"1487","RR","Amajari",1,406827
"1488","RR","Boa Vista",17,12983549
"1489","RR","Cantá",3,497747
"1490","RR","Mucajaí",1,145615
"1491","RR","Normandia",1,63704
"1492","RR","Uiramutã",1,773396
"1493","RS","Agudo",1,910483
"1494","RS","Alvorada",11,4407573
"1495","RS","Araricá",1,3380083
"1496","RS","Arroio do Padre",1,767176
"1497","RS","Arroio dos Ratos",1,1453117
"1498","RS","Bagé",3,1735388
"1499","RS","Barão do Triunfo",1,232065
"1500","RS","Barros Cassal",1,420453
"1501","RS","Bento Gonçalves",1,818237
"1502","RS","Bom Jesus",1,1105361
"1503","RS","Caçapava do Sul",2,1583898
"1504","RS","Cachoeira do Sul",2,525789
"1505","RS","Cachoeirinha",4,3922094
"1506","RS","Camaquã",3,2285604
"1507","RS","Cambará do Sul",1,411020
"1508","RS","Candelária",2,494233
"1509","RS","Canela",1,396184
"1510","RS","Canguçu",3,4365259
"1511","RS","Canoas",5,16896931
"1512","RS","Capão da Canoa",1,0
"1513","RS","Capão do Cipó",2,1337118
"1514","RS","Capão do Leão",2,1818955
"1515","RS","Carazinho",1,718717
"1516","RS","Catuípe",1,2867071
"1517","RS","Caxias do Sul",5,0
"1518","RS","Crissiumal",2,4377097
"1519","RS","Cristal",1,1676611
"1520","RS","Cristal do Sul",1,739419
"1521","RS","Dom Pedrito",1,0
"1522","RS","Dom Pedro de Alcântara",1,0
"1523","RS","Eldorado do Sul",1,1458379
"1524","RS","Encruzilhada do Sul",3,780306
"1525","RS","Entre-Ijuís",1,308710
"1526","RS","Erechim",2,1435166
"1527","RS","Eugênio de Castro",1,903960
"1528","RS","Farroupilha",2,1374320
"1529","RS","Formigueiro",1,181277
"1530","RS","Garibaldi",1,1686865
"1531","RS","General Câmara",1,462468
"1532","RS","Gravataí",7,3597606
"1533","RS","Guaíba",3,3495126
"1534","RS","Hulha Negra",4,1056631
"1535","RS","Imbé",2,2611479
"1536","RS","Ivoti",1,1056417
"1537","RS","Lagoão",1,844539
"1538","RS","Lajeado",1,0
"1539","RS","Lavras do Sul",1,239204
"1540","RS","Monte Belo do Sul",1,381180
"1541","RS","Não-Me-Toque",1,842355
"1542","RS","Nova Santa Rita",1,532344
"1543","RS","Osório",1,0
"1544","RS","Palmeira das Missões",1,498354
"1545","RS","Parobé",1,0
"1546","RS","Passo Fundo",1,926296
"1547","RS","Pelotas",9,3660689
"1548","RS","Pinheiro Machado",1,485295
"1549","RS","Portão",1,898075
"1550","RS","Porto Alegre",30,12637540
"1551","RS","Porto Lucena",1,748332
"1552","RS","Rio Grande",5,4958966
"1553","RS","Rosário do Sul",3,1595543
"1554","RS","Salto do Jacuí",1,219075
"1555","RS","Sananduva",1,1040305
"1556","RS","Santa Clara do Sul",1,0
"1557","RS","Santa Maria",12,8056546
"1558","RS","Santa Vitória do Palmar",1,233884
"1559","RS","Santana do Livramento",3,3120164
"1560","RS","Santiago",1,396960
"1561","RS","Santo Ângelo",1,930234
"1562","RS","Santo Antônio das Missões",1,247019
"1563","RS","São Borja",2,978238
"1564","RS","São Francisco de Paula",2,901646
"1565","RS","São Gabriel",4,1898249
"1566","RS","São José do Norte",1,997383
"1567","RS","São Leopoldo",9,2374024
"1568","RS","São Lourenço do Sul",1,1155056
"1569","RS","São Pedro da Serra",1,0
"1570","RS","São Sepé",1,911672
"1571","RS","São Vicente do Sul",1,185853
"1572","RS","Sapucaia do Sul",2,2516806
"1573","RS","Sertão",1,2097348
"1574","RS","Tapera",1,651014
"1575","RS","Tapes",1,900960
"1576","RS","Taquari",3,1194071
"1577","RS","Tenente Portela",1,475123
"1578","RS","Torres",1,0
"1579","RS","Tramandaí",1,905789
"1580","RS","Três Forquilhas",1,0
"1581","RS","Unistalda",1,786011
"1582","RS","Uruguaiana",1,0
"1583","RS","Vacaria",2,1715192
"1584","RS","Vale do Sol",1,812861
"1585","RS","Viamão",16,2023143
"1586","RS","Vicente Dutra",1,723565
"1587","SC","Abelardo Luz",1,435509
"1588","SC","Alfredo Wagner",1,1862477
"1589","SC","Araranguá",1,2789519
"1590","SC","Balneário Barra do Sul",1,1645537
"1591","SC","Balneário Rincão",1,1120246
"1592","SC","Biguaçu",2,776220
"1593","SC","Blumenau",6,2125681
"1594","SC","Bom Retiro",2,947005
"1595","SC","Botuverá",1,0
"1596","SC","Caçador",3,3614727
"1597","SC","Calmon",2,570849
"1598","SC","Camboriú",2,1679312
"1599","SC","Capão Alto",1,334593
"1600","SC","Capivari de Baixo",1,0
"1601","SC","Curitibanos",1,898082
"1602","SC","Descanso",1,0
"1603","SC","Florianópolis",4,1799445
"1604","SC","Gaspar",1,0
"1605","SC","Imbituba",2,1809128
"1606","SC","Itajaí",1,429965
"1607","SC","Itapema",1,0
"1608","SC","Jaguaruna",2,2643974
"1609","SC","Jaraguá do Sul",1,0
"1610","SC","Joinville",2,2326208
"1611","SC","Lages",1,825753
"1612","SC","Laguna",2,455473
"1613","SC","Lontras",1,3114234
"1614","SC","Matos Costa",1,1025742
"1615","SC","Navegantes",1,1234949
"1616","SC","Ouro Verde",1,812206
"1617","SC","Palhoça",3,998393
"1618","SC","Palmeira",1,421682
"1619","SC","Palmitos",1,938363
"1620","SC","Pinhalzinho",1,0
"1621","SC","Piratuba",1,421097
"1622","SC","Pomerode",2,475010
"1623","SC","Rio do Sul",2,451057
"1624","SC","Rio dos Cedros",1,0
"1625","SC","São Francisco do Sul",2,1888588
"1626","SC","São Joaquim",1,878493
"1627","SC","São José",1,249738
"1628","SC","Siderópolis",1,925513
"1629","SC","Tangará",1,2897616
"1630","SC","Xaxim",1,841177
"1631","SE","Aracaju",5,1695737
"1632","SE","Arauá",1,210370
"1633","SE","Canindé de São Francisco",1,420903
"1634","SE","Carmópolis",1,409288
"1635","SE","Cristinápolis",2,512167
"1636","SE","Cumbe",1,540427
"1637","SE","Estância",3,784065
"1638","SE","Frei Paulo",1,398521
"1639","SE","Gararu",1,0
"1640","SE","Indiaroba",1,830210
"1641","SE","Itabaiana",1,276220
"1642","SE","Itabaianinha",3,1714537
"1643","SE","Japoatã",1,645281
"1644","SE","Lagarto",1,401636
"1645","SE","Laranjeiras",2,886559
"1646","SE","Maruim",1,431842
"1647","SE","Moita Bonita",1,667248
"1648","SE","Monte Alegre de Sergipe",1,626021
"1649","SE","Muribeca",1,517035
"1650","SE","Neópolis",1,423898
"1651","SE","Nossa Senhora das Dores",2,1648438
"1652","SE","Nossa Senhora do Socorro",3,1011137
"1653","SE","Pinhão",3,1180715
"1654","SE","Pirambu",1,224125
"1655","SE","Poço Redondo",1,1850158
"1656","SE","Porto da Folha",2,599499
"1657","SE","Propriá",1,1025231
"1658","SE","Riachão do Dantas",2,436217
"1659","SE","Rosário do Catete",1,532419
"1660","SE","Santa Luzia do Itanhy",4,1510966
"1661","SE","Santana do São Francisco",1,177192
"1662","SE","São Cristóvão",1,0
"1663","SE","São Domingos",1,274006
"1664","SE","Tobias Barreto",1,1692658
"1665","SE","Umbaúba",4,2457451
"1666","SP","Águas de Lindóia",1,196654
"1667","SP","Agudos",1,297009
"1668","SP","Alambari",1,599375
"1669","SP","Álvaro de Carvalho",1,888157
"1670","SP","Americana",2,2248183
"1671","SP","Américo Brasiliense",1,1231169
"1672","SP","Andradina",1,938959
"1673","SP","Araçatuba",1,0
"1674","SP","Araraquara",1,0
"1675","SP","Araras",1,0
"1676","SP","Arujá",3,248590
"1677","SP","Assis",3,3802226
"1678","SP","Atibaia",1,0
"1679","SP","Avaí",1,585316
"1680","SP","Avaré",1,782531
"1681","SP","Balbinos",1,410149
"1682","SP","Bauru",4,2388483
"1683","SP","Bebedouro",1,0
"1684","SP","Bertioga",1,0
"1685","SP","Birigui",1,0
"1686","SP","Boituva",1,466655
"1687","SP","Bom Sucesso de Itararé",1,580267
"1688","SP","Borborema",1,467563
"1689","SP","Bragança Paulista",2,915430
"1690","SP","Buritama",1,365231
"1691","SP","Cabreúva",1,0
"1692","SP","Caçapava",2,788520
"1693","SP","Campinas",3,1298692
"1694","SP","Caraguatatuba",2,297009
"1695","SP","Carapicuíba",8,10575833
"1696","SP","Casa Branca",1,1298536
"1697","SP","Castilho",1,470485
"1698","SP","Cesário Lange",1,0
"1699","SP","Conchal",1,62487
"1700","SP","Cordeirópolis",1,882778
"1701","SP","Cotia",4,726000
"1702","SP","Cubatão",2,734968
"1703","SP","Cunha",1,640904
"1704","SP","Diadema",1,677449
"1705","SP","Dois Córregos",1,1268368
"1706","SP","Dracena",1,0
"1707","SP","Franca",3,0
"1708","SP","Francisco Morato",1,909032
"1709","SP","Franco da Rocha",2,0
"1710","SP","Guaratinguetá",1,453008
"1711","SP","Guareí",2,1162390
"1712","SP","Guarujá",2,735736
"1713","SP","Guarulhos",11,8152741
"1714","SP","Guatapará",1,420993
"1715","SP","Hortolândia",1,752268
"1716","SP","Ibirá",2,0
"1717","SP","Ibitinga",1,0
"1718","SP","Ibiúna",1,432849
"1719","SP","Ilha Comprida",1,0
"1720","SP","Indiaporã",1,420672
"1721","SP","Ipeúna",1,171594
"1722","SP","Itanhaém",2,256407
"1723","SP","Itapecerica da Serra",5,3051307
"1724","SP","Itapetininga",2,0
"1725","SP","Itapevi",2,1533340
"1726","SP","Itapirapuã Paulista",1,1118314
"1727","SP","Itápolis",1,0
"1728","SP","Itaquaquecetuba",1,0
"1729","SP","Itararé",1,1623937
"1730","SP","Itu",1,0
"1731","SP","Jacareí",2,0
"1732","SP","Jandira",1,0
"1733","SP","Jarinu",1,480862
"1734","SP","Jaú",1,259711
"1735","SP","José Bonifácio",1,0
"1736","SP","Jundiaí",2,940930
"1737","SP","Juquitiba",1,1325670
"1738","SP","Leme",1,0
"1739","SP","Limeira",3,1891062
"1740","SP","Lins",1,0
"1741","SP","Mairinque",1,939336
"1742","SP","Marília",2,0
"1743","SP","Martinópolis",1,1450760
"1744","SP","Mirante do Paranapanema",1,0
"1745","SP","Mirassol",1,468641
"1746","SP","Mococa",2,0
"1747","SP","Mogi Guaçu",4,2132467
"1748","SP","Mogi Mirim",1,1634535
"1749","SP","Monte Mor",1,847768
"1750","SP","Murutinga do Sul",1,1456300
"1751","SP","Novo Horizonte",1,303876
"1752","SP","Olímpia",1,473584
"1753","SP","Ouro Verde",1,434378
"1754","SP","Palestina",1,0
"1755","SP","Paranapanema",1,997184
"1756","SP","Pariquera-Açu",1,468568
"1757","SP","Paulínia",1,891996
"1758","SP","Pedreira",1,1247533
"1759","SP","Peruíbe",2,1889167
"1760","SP","Piedade",1,0
"1761","SP","Pilar do Sul",2,249049
"1762","SP","Pirangi",1,415569
"1763","SP","Pirapozinho",1,302129
"1764","SP","Pirassununga",2,0
"1765","SP","Pontal",1,950245
"1766","SP","Potirendaba",1,828167
"1767","SP","Pracinha",1,415002
"1768","SP","Promissão",1,948255
"1769","SP","Registro",1,250025
"1770","SP","Ribeirão Pires",2,0
"1771","SP","Ribeirão Preto",3,1306906
"1772","SP","Rio Claro",2,742866
"1773","SP","Rio das Pedras",1,468309
"1774","SP","Rosana",1,0
"1775","SP","Salesópolis",1,0
"1776","SP","Salto",1,477141
"1777","SP","Santa Bárbara d'Oeste",6,2448614
"1778","SP","Santa Cruz da Esperança",1,601133
"1779","SP","Santa Cruz das Palmeiras",1,0
"1780","SP","Santo André",3,0
"1781","SP","São Bernardo do Campo",1,761689
"1782","SP","São João de Iracema",1,421895
"1783","SP","São José do Rio Preto",1,0
"1784","SP","São Miguel Arcanjo",2,1590943
"1785","SP","São Paulo",66,4138446
"1786","SP","São Roque",2,0
"1787","SP","São Vicente",1,430191
"1788","SP","Serrana",1,174128
"1789","SP","Sete Barras",1,202013
"1790","SP","Socorro",1,274920
"1791","SP","Sumaré",1,873124
"1792","SP","Suzano",4,2706380
"1793","SP","Taquaritinga",1,468236
"1794","SP","Ubatuba",2,0
"1795","SP","Valinhos",1,359635
"1796","SP","Vargem Grande do Sul",1,374572
"1797","SP","Votuporanga",1,1872370
"1798","TO","Abreulândia",3,1474995
"1799","TO","Aragominas",1,903970
"1800","TO","Araguaçu",1,644445
"1801","TO","Araguaína",2,885774
"1802","TO","Araguatins",3,4236328
"1803","TO","Arraias",1,1139317
"1804","TO","Aurora do Tocantins",1,459504
"1805","TO","Babaçulândia",1,1037407
"1806","TO","Bernardo Sayão",1,852018
"1807","TO","Bom Jesus do Tocantins",2,1642552
"1808","TO","Buriti do Tocantins",2,1803205
"1809","TO","Cachoeirinha",1,454858
"1810","TO","Centenário",1,897100
"1811","TO","Conceição do Tocantins",1,871039
"1812","TO","Couto Magalhães",1,816098
"1813","TO","Darcinópolis",1,1307893
"1814","TO","Filadélfia",2,1961726
"1815","TO","Formoso do Araguaia",2,2912224
"1816","TO","Fortaleza do Tabocão",1,600785
"1817","TO","Goiatins",7,3717650
"1818","TO","Gurupi",2,1785935
"1819","TO","Ipueiras",1,436695
"1820","TO","Itaguatins",1,182367
"1821","TO","Lagoa do Tocantins",1,1934565
"1822","TO","Luzinópolis",1,1384216
"1823","TO","Marianópolis do Tocantins",1,1782241
"1824","TO","Mateiros",1,833713
"1825","TO","Miracema do Tocantins",1,1942752
"1826","TO","Miranorte",1,1018497
"1827","TO","Monte do Carmo",1,638207
"1828","TO","Natividade",1,899763
"1829","TO","Nova Olinda",2,988814
"1830","TO","Palmas",1,2829716
"1831","TO","Palmeirante",1,638848
"1832","TO","Palmeiras do Tocantins",1,629500
"1833","TO","Palmeirópolis",1,926393
"1834","TO","Paraíso do Tocantins",2,881080
"1835","TO","Paranã",6,2313983
"1836","TO","Piraquê",1,206831
"1837","TO","Pium",3,449903
"1838","TO","Ponte Alta do Bom Jesus",1,1385534
"1839","TO","Porto Nacional",3,1791615
"1840","TO","Praia Norte",4,1260675
"1841","TO","Riachinho",1,977121
"1842","TO","Rio da Conceição",1,417132
"1843","TO","Sampaio",1,1479819
"1844","TO","Sandolândia",1,950537
"1845","TO","Santa Fé do Araguaia",2,1683298
"1846","TO","Santa Terezinha do Tocantins",1,635375
"1847","TO","São Bento do Tocantins",2,0
"1848","TO","São Miguel do Tocantins",1,902358
"1849","TO","Silvanópolis",2,2690984
"1850","TO","Taguatinga",2,1170550
"1851","TO","Tocantínia",1,556847
"1852","TO","Tupiratins",1,425836
"1853","TO","Wanderlândia",1,1800899
"1854","TO","Xambioá",1,937269
